#separator:tab
#html:false
#notetype:Basic (and reversed card)
#deck:Japones::Fase 0 - Kana
#tags column:3
あ	a	hiragana hira-a
い	i	hiragana hira-a
う	u	hiragana hira-a
え	e	hiragana hira-a
お	o	hiragana hira-a
か	ka	hiragana hira-ka
き	ki	hiragana hira-ka
く	ku	hiragana hira-ka
け	ke	hiragana hira-ka
こ	ko	hiragana hira-ka
さ	sa	hiragana hira-sa
し	shi	hiragana hira-sa
す	su	hiragana hira-sa
せ	se	hiragana hira-sa
そ	so	hiragana hira-sa
た	ta	hiragana hira-ta
ち	chi	hiragana hira-ta
つ	tsu	hiragana hira-ta
て	te	hiragana hira-ta
と	to	hiragana hira-ta
な	na	hiragana hira-na
に	ni	hiragana hira-na
ぬ	nu	hiragana hira-na
ね	ne	hiragana hira-na confundivel
の	no	hiragana hira-na
