#separator:tab
#html:false
#notetype:Basic (and reversed card)
#deck:Japones::Fase 0 - Kana
#tags column:3
ア	a	katakana kata-a
イ	i	katakana kata-a
ウ	u	katakana kata-a
エ	e	katakana kata-a
オ	o	katakana kata-a
カ	ka	katakana kata-ka
キ	ki	katakana kata-ka
ク	ku	katakana kata-ka confundivel
ケ	ke	katakana kata-ka
コ	ko	katakana kata-ka
サ	sa	katakana kata-sa
シ	shi	katakana kata-sa confundivel
ス	su	katakana kata-sa confundivel
セ	se	katakana kata-sa
ソ	so	katakana kata-sa confundivel
タ	ta	katakana kata-ta
チ	chi	katakana kata-ta
ツ	tsu	katakana kata-ta confundivel
テ	te	katakana kata-ta
ト	to	katakana kata-ta
ナ	na	katakana kata-na
ニ	ni	katakana kata-na
ヌ	nu	katakana kata-na confundivel
ネ	ne	katakana kata-na confundivel
ノ	no	katakana kata-na
